https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,C330,#REF!,"1,100",0,0,0,"1,100",,550,,,,550,,,,0,,,,0,,,
FITTING,C273,#REF!,"3,058",0,0,0,"3,058",,"2,112",,,,946,,,,0,,,,0,,,
FITTING,C221,#REF!,800,0,0,0,800,,400,,,,400,,,,0,,,,0,,,
FITTING,C506,#REF!,110,0,0,0,110,,55,,,,55,,,,0,,,,0,,,
FITTING,C46,#REF!,"1,048",0,0,0,"1,048",,524,,,,524,,,,0,,,,0,,,
FITTING,C275N,#REF!,"1,203",0,0,0,"1,203",,690,,,,513,,,,0,,,,0,,,
PIPE,PS-6,#REF!,260,0,0,0,260,,260,,,,0,,,,0,,,,0,,,
FITTING,C252,#REF!,350,0,0,0,350,,350,,,,0,,,,0,,,,0,,,
FITTING,C942,#REF!,"3,200",0,0,0,"3,200",,"1,600",,,,"1,600",,,,0,,,,0,,,
FITTING,C320,#REF!,650,0,0,0,650,,650,,,,0,,,,0,,,,0,,,
FITTING,C51,#REF!,"2,016",0,0,0,"2,016",,"1,008",,,,"1,008",,,,0,,,,0,,,
FITTING,C106,#REF!,320,0,0,0,320,,160,,,,160,,,,0,,,,0,,,
FITTING,C606,#REF!,140,0,0,0,140,,70,,,,70,,,,0,,,,0,,,
FITTING,C276N,#REF!,512,0,0,0,512,,195,,,,195,,,,0,,,,122,,,
FITTING,C853,#REF!,"1,252",0,0,0,"1,252",,830,,,,0,,,,0,,,,422,,,
FITTING,PC22,#REF!,"8,240",0,0,0,"8,240",,"4,120",,,,"4,120",,,,0,,,,0,,,
SOLVENT,S4,#REF!,"8,007",0,0,0,"8,007",,"8,007",,,,0,,,,0,,,,0,,,
