https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
144-VG,103,103,0,0,0,144-VG-,144-VG,103,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-LW,92,92,0,0,0,144-LW-,144-LW,92,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-VG,18,18,0,0,0,132-VG-,132-VG,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-VP,71,71,0,0,0,129-VP-,129-VP,71,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-NNB,179,179,0,0,0,123-NNB-,123-NNB,179,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-NW,118,118,0,0,0,144-NW-,144-NW,118,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-RG,91,91,0,0,0,123-RG-,123-RG,91,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-NB,21,21,0,0,0,129-NB-,129-NB,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-SG,614,614,0,0,0,121-SG-,121-SG,614,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-DP,85,85,0,0,0,123-DP-,123-DP,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-HR,85,85,0,0,0,124-HR-,124-HR,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-HR,494,494,0,0,0,121-HR-,121-HR,494,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-NNW,90,90,0,0,0,123-NNW-,123-NNW,90,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322-DR,66,66,0,0,0,1322-DR-,1322-DR,66,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-VG,44,44,0,0,0,130-VG-,130-VG,44,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-SG,460,460,0,0,0,144-SG-,144-SG,460,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-SG,108,108,0,0,0,130-SG-,130-SG,108,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132-SG,98,98,0,0,0,132-SG-,132-SG,98,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-HW,225,225,0,0,0,129-HW-,129-HW,225,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-SFG,31,31,0,0,0,1375-SFG-,1375-SFG,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-RW,65,65,0,0,0,144-RW-,144-RW,65,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-DR,49,49,0,0,0,147-DR-,147-DR,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127-HG,21,21,0,0,0,127-HG-,127-HG,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134-DW,8,8,0,0,0,134-DW-,134-DW,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-SP,37,37,0,0,0,1375-SP-,1375-SP,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-FH,486,486,0,0,0,123-FH-,123-FH,486,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-UW,41,41,0,0,0,123-UW-,123-UW,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123-QR,902,902,0,0,0,123-QR-,123-QR,902,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-HR,3,3,3,0,0,147-HR-,147-HR,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
131-HR,9,9,9,0,0,131-HR-,131-HR,9,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
123-HR,182,0,182,0,0,123-HR-,123-HR,182,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0
129-SR,215,0,215,0,0,129-SR-,129-SR,215,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0
123-DR,134,0,134,0,0,123-DR-,123-DR,134,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0
132-IP,14,0,14,0,0,132-IP-,132-IP,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
132-HW,31,0,31,0,0,132-HW-,132-HW,31,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
121-VG,111,0,111,0,0,121-VG-,121-VG,111,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0
130-VR,30,0,30,0,0,130-VR-,130-VR,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
132-DR,48,0,48,0,0,132-DR-,132-DR,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
132-SW,6,0,6,0,0,132-SW-,132-SW,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
133-QR,116,0,116,0,0,133-QR-,133-QR,116,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0
124-NB,62,0,0,62,0,124-NB-,124-NB,62,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
130-RW,34,0,0,34,0,130-RW-,130-RW,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
129-SG,49,0,0,49,0,129-SG-,129-SG,49,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
149-SR,48,0,0,48,0,149-SR-,149-SR,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
129-HR,54,0,0,54,0,129-HR-,129-HR,54,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
144-NB,70,0,0,70,0,144-NB-,144-NB,70,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
144-SW,38,0,0,38,0,144-SW-,144-SW,38,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
129-QR,87,0,0,87,0,129-QR-,129-QR,87,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
123-UR,254,0,0,254,0,123-UR-,123-UR,254,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0
132-DP,26,0,0,26,0,132-DP-,132-DP,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
133-SR,28,0,0,28,0,133-SR-,133-SR,28,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
121-HW,159,0,0,159,0,121-HW-,121-HW,159,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0
124-UR,38,0,0,38,0,124-UR-,124-UR,38,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
144-QG,25,0,0,25,0,144-QG-,144-QG,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
127-HW,10,0,0,10,0,127-HW-,127-HW,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
121-VP,44,0,0,44,0,121-VP-,121-VP,44,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
130-DP,4,0,0,0,4,130-DP-,130-DP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
144-IP,8,0,0,0,8,144-IP-,144-IP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
