https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,U22T,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U82,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U59,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U58,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U108,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U276,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-4,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UF13,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U22N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U37,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-17,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U21T,#REF!,"1,626",0,0,0,"1,626",,813,,,,813,,,,0,,,,0,,,
FITTING,U340,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U536,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U534,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-19,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U67,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U23T,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-18,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U25N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U609,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-6,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U608,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U537,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-1,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U278N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
SOLVENT,S15,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U607,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UC6,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U887,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UC1,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UC3,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U264,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U951,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U964,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U962,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH78-S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-5T,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U961,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH76,#REF!,128,0,0,0,128,,128,,,,0,,,,0,,,,0,,,
FITTING,UH89,#REF!,864,0,0,0,864,,432,,,,432,,,,0,,,,0,,,
FITTING,UH76-S,#REF!,416,0,0,0,416,,208,,,,208,,,,0,,,,0,,,
FITTING,U47,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH72,#REF!,352,0,0,0,352,,176,,,,176,,,,0,,,,0,,,
FITTING,UH80-S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH90,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U533,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U539,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U941,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UF12,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U952,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH72-S,#REF!,32,0,0,0,32,,32,,,,0,,,,0,,,,0,,,
FITTING,U876,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U875,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-17S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U272,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-2T,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-18S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U277N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U38,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U261,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
SOLVENT,S16,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
SOLVENT,S17,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U898,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-9,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH84,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UF14,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-7,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U279N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U123,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
