category,item_code,colour
Cocks Standard,124-O,M GREEN
Cocks Standard,124-O,PINK
Cocks Standard,124-O,WHITE
Cocks Standard,124-P,BURGUNDY
Cocks Standard,124-P,GREEN
Cocks Standard,124-P,IVORY
Cocks Standard,124-P,M GREEN
Cocks Standard,124-P,PINK
Cocks Standard,124-P,WHITE
Cocks Standard,124-R,BURGUNDY
Cocks Standard,124-R,GREEN
Cocks Standard,124-R,IVORY
Cocks Standard,124-R,M GREEN
Cocks Standard,124-R,PINK
Cocks Standard,124-R,WHITE
Cocks Standard,124-S,BURGUNDY
Cocks Standard,124-S,GREEN
Cocks Standard,124-S,IVORY
Cocks Standard,124-S,M GREEN
Cocks Standard,124-S,PINK
Cocks Standard,124-S,WHITE
Cocks Standard,124-U,BURGUNDY
Cocks Standard,124-U,GREEN
Cocks Standard,124-U,IVORY
Cocks Standard,124-U,M GREEN
Cocks Standard,124-U,PINK
Cocks Standard,124-U,WHITE
Cocks Standard,124-V,BURGUNDY
Cocks Standard,124-V,GREEN
Cocks Standard,124-V,IVORY
Cocks Standard,124-V,M GREEN
Cocks Standard,124-V,PINK
Cocks Standard,124-V,WHITE
Cocks Standard,124-W,IVORY
Cocks Standard,124-W,WHITE
Cocks Standard,124-WS,IVORY
Cocks Standard,124-WS,WHITE
Cocks Standard,124.0,BLUE
Cocks Standard,124.0,BURGUNDY
Cocks Standard,124.0,GREEN
Cocks Standard,124.0,IVORY
Cocks Standard,124.0,M GREEN
Cocks Standard,124.0,PINK
Cocks Standard,124.0,WHITE
Cocks Standard,1241-F,BURGUNDY
Cocks Standard,1241-F,GREEN
Cocks Standard,1241-F,IVORY
Cocks Standard,1241-F,M GREEN
Cocks Standard,1241-F,PINK
Cocks Standard,1241-F,WHITE
Cocks Standard,1241.0,BURGUNDY
Cocks Standard,1241.0,GREEN
Cocks Standard,1241.0,IVORY
Cocks Standard,1241.0,M GREEN
Cocks Standard,1241.0,PINK
Cocks Standard,1241.0,WHITE
Cocks Standard,125-O,BURGUNDY
Cocks Standard,125-O,GREEN
Cocks Standard,125-O,IVORY
Cocks Standard,125-O,M GREEN
Cocks Standard,125-O,PINK
Cocks Standard,125-O,WHITE
Cocks Standard,125-S,IVORY
Cocks Standard,125-S,WHITE
Cocks Standard,125-WS,IVORY
Cocks Standard,125-WS,WHITE
Cocks Standard,127-A,WHITE
Cocks Standard,127-AB,.
Cocks Standard,127-AP,IVORY
Cocks Standard,127-AP,WHITE
Cocks Standard,127-AS,IVORY
Cocks Standard,127-AS,WHITE
Cocks Standard,127-B,BURGUNDY
Cocks Standard,127-B,GREEN
Cocks Standard,127-B,IVORY
Cocks Standard,127-B,M GREEN
Cocks Standard,127-B,PINK
Cocks Standard,127-B,WHITE
Cocks Standard,127-C,BURGUNDY
Cocks Standard,127-C,GREEN
Cocks Standard,127-C,IVORY
Cocks Standard,127-C,M GREEN
Cocks Standard,127-C,PINK
Cocks Standard,127-C,WHITE
Cocks Standard,127-D,WHITE
Cocks Standard,127-DB,BLACK
Cocks Standard,127-DG,.
Cocks Standard,127-DP,PEACH
Cocks Standard,127-DR,R BLUE
Cocks Standard,127-DW,.
Cocks Standard,127-E,BURGUNDY
Cocks Standard,127-E,GREEN
Cocks Standard,127-E,IVORY
Cocks Standard,127-E,M GREEN
Cocks Standard,127-E,PINK
Cocks Standard,127-E,WHITE
Cocks Standard,127-EB,IVORY
Cocks Standard,127-EB,WHITE
Cocks Standard,127-H,BURGUNDY
Cocks Standard,127-H,GREEN
Cocks Standard,127-H,IVORY
Cocks Standard,127-H,M GREEN
Cocks Standard,127-H,PINK
Cocks Standard,127-H,WHITE
Cocks Standard,127-K,WHITE
Cocks Standard,127-LS,WHITE
Cocks Standard,127-LSB,BLUE
Cocks Standard,127-O,BURGUNDY
Cocks Standard,127-O,GREEN
Cocks Standard,127-O,IVORY
Cocks Standard,127-O,M GREEN
Cocks Standard,127-O,PINK
Cocks Standard,127-O,WHITE
Cocks Standard,127-P,BURGUNDY
Cocks Standard,127-P,GREEN
Cocks Standard,127-P,IVORY
Cocks Standard,127-P,M GREEN
Cocks Standard,127-P,PINK
Cocks Standard,127-P,WHITE
Cocks Standard,127-S,BURGUNDY
Cocks Standard,127-S,GREEN
Cocks Standard,127-S,IVORY
Cocks Standard,127-S,M GREEN
Cocks Standard,127-S,PINK
Cocks Standard,127-S,WHITE
Cocks Standard,127-V,BURGUNDY
Cocks Standard,127-V,GREEN
Cocks Standard,127-V,IVORY
Cocks Standard,127-V,M GREEN
Cocks Standard,127-V,PINK
Cocks Standard,127-V,WHITE
Cocks Standard,127.0,BURGUNDY
Cocks Standard,127.0,GREEN
Cocks Standard,127.0,IVORY
Cocks Standard,127.0,M GREEN
Cocks Standard,127.0,PINK
Cocks Standard,127.0,WHITE
Cocks Standard,129,BLUE
Cocks Standard,129-A,WHITE
Cocks Standard,129-AB,.
Cocks Standard,129-AP,IVORY
Cocks Standard,129-AP,WHITE
Cocks Standard,129-AS,IVORY
Cocks Standard,129-AS,WHITE
Cocks Standard,129-B,BURGUNDY
Cocks Standard,129-B,GREEN
Cocks Standard,129-B,IVORY
Cocks Standard,129-B,M GREEN
Cocks Standard,129-B,PINK
Cocks Standard,129-B,WHITE
Cocks Standard,129-C,BURGUNDY
Cocks Standard,129-C,GREEN
Cocks Standard,129-C,IVORY
Cocks Standard,129-C,M GREEN
Cocks Standard,129-C,PINK
Cocks Standard,129-C,WHITE
Cocks Standard,129-D,BURGUNDY
Cocks Standard,129-D,GREEN
Cocks Standard,129-D,IVORY
Cocks Standard,129-D,M GREEN
Cocks Standard,129-D,PINK
Cocks Standard,129-D,WHITE
