category,item_code,normalized_code,issued_demand,mrp_series,on_prayag_tab
P.V.C. Connections,322-K,322-K,0.0,(not in current MRP product rows),False
P.V.C. Connections,323-HK,323-HK,0.0,(not in current MRP product rows),False
P.V.C. Connections,323-ZK,323-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,324-HK,324-HK,0.0,(not in current MRP product rows),False
P.V.C. Connections,324-ZK,324-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,325-HK,325-HK,0.0,(not in current MRP product rows),False
P.V.C. Connections,325-ZK,325-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,326-HK,326-HK,0.0,(not in current MRP product rows),False
P.V.C. Connections,326-ZK,326-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,328 K,328 K,0.0,(not in current MRP product rows),False
P.V.C. Connections,328-ZK,328-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,330-ZK,330-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,332-ZK,332-ZK,0.0,(not in current MRP product rows),False
P.V.C. Connections,348-K,348-K,0.0,(not in current MRP product rows),False
P.V.C. Connections,350-K,350-K,0.0,(not in current MRP product rows),False
P.V.C. Connections,PTA-65,PTA-65,0.0,(not in current MRP product rows),False
P.V.C. Connections,PTA-69,PTA-69,0.0,(not in current MRP product rows),False
P.V.C. Connections,PTA-70,PTA-70,0.0,(not in current MRP product rows),False
Waste Pipes,PTA-61,PTA-61,1002.5,(not in current MRP product rows),False
Waste Pipes,PTA-62,PTA-62,572.0,(not in current MRP product rows),False
Waste Pipes,PTA-59,PTA-59,92.5,(not in current MRP product rows),False
Waste Pipes,PTA-60,PTA-60,0.0,(not in current MRP product rows),False
Waste Pipes,PTA-63,PTA-63,0.0,(not in current MRP product rows),False
Waste Pipes,PTA-64,PTA-64,0.0,(not in current MRP product rows),False
