Series,Rows,Category count,Planning categories,Unmapped ranges,Range distribution
"Lagoon Royal Series","13","2","Cocks Premium | Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Lagoon Wine Series","13","2","Cocks Premium | Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Lagoona Series","13","2","Cocks Premium | Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Mute Series","6","1","Unclassified","Mute Series","Mute Series: 6"
"Novo Gold Series","8","1","Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Pillar Cock (130): 1; SINK COCK (133): 1; Sink Cock (132): 1"
"Novo Peach Series","8","1","Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Pillar Cock (130): 1; SINK COCK (133): 1; Sink Cock (132): 1"
"Novo Royal Series","8","1","Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Pillar Cock (130): 1; SINK COCK (133): 1; Sink Cock (132): 1"
"Novo Series","8","1","Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Pillar Cock (130): 1; SINK COCK (133): 1; Sink Cock (132): 1"
"Novo Wine Series","8","1","Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Pillar Cock (130): 1; SINK COCK (133): 1; Sink Cock (132): 1"
"Ovian Gold Series","17","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Ovian Peach Series","17","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Ovian Royal Series","17","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Ovian Series","17","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Ovian Wine Series","17","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Push Cock Series","10","1","Unclassified","Push Cock | URINAL COCK","Push Cock: 9; URINAL COCK: 1"
"Quadra Gold Series","12","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Quadra Peach Series","12","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Quadra Royal Series","14","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 3; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Quadra Series","12","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
