id,item_code,colour,category,buffer_req,production_plan
420689,123-LSF,IVORY,Cocks Standard,0,0
420690,123-LSFB,BLUE,Cocks Standard,15.33,0
420691,123-LSN,WHITE,Cocks Standard,0,0
420692,123-LSNB,BLUE,Cocks Standard,0,0
420693,123-LW,,Cocks Premium,11,0
420694,123-N,BURGUNDY,Cocks Standard,0,0
420695,123-N,GREEN,Cocks Standard,0,0
420696,123-N,IVORY,Cocks Standard,0,0
420697,123-N,M GREEN,Cocks Standard,0,0
420698,123-N,PINK,Cocks Standard,0,0
420699,123-N,WHITE,Cocks Standard,38,0
420700,123-NN,IVORY,Cocks Standard,0,0
420701,123-NN,WHITE,Cocks Standard,90.33,56.33
420702,123-NNB,,Cocks Premium,198,355
420703,123-NNG,,Cocks Premium,54.33,54.33
420704,123-NNP,,Cocks Premium,54,41
420705,123-NNR,,Cocks Premium,144,0
420706,123-NNW,,Cocks Premium,54,28
420707,123-O,BURGUNDY,Cocks Standard,0,0
420708,123-O,GREEN,Cocks Standard,0,0
420709,123-O,IVORY,Cocks Standard,20,0
420710,123-O,M GREEN,Cocks Standard,0,0
420711,123-O,PINK,Cocks Standard,0,0
420712,123-O,WHITE,Cocks Standard,973.67,668.67
420713,123-ON,BURGUNDY,Cocks Standard,0,0
420714,123-ON,GREEN,Cocks Standard,0,0
420715,123-ON,IVORY,Cocks Standard,0,0
420716,123-ON,M GREEN,Cocks Standard,0,0
420717,123-ON,PINK,Cocks Standard,0,0
420718,123-ON,WHITE,Cocks Standard,20,0
420719,123-P,BURGUNDY,Cocks Standard,0,0
420720,123-P,GREEN,Cocks Standard,0,0
420721,123-P,IVORY,Cocks Standard,30.67,23.67
420722,123-P,M GREEN,Cocks Standard,0,0
420723,123-P,PINK,Cocks Standard,0,0
420724,123-P,WHITE,Cocks Standard,106,282
420725,123-PN,BURGUNDY,Cocks Standard,0,0
420726,123-PN,GREEN,Cocks Standard,0,0
420727,123-PN,IVORY,Cocks Standard,0,0
420728,123-PN,M GREEN,Cocks Standard,0,0
420729,123-PN,PINK,Cocks Standard,0,0
420730,123-PN,WHITE,Cocks Standard,0,0
420731,123-Q,BURGUNDY,Cocks Standard,0,0
420732,123-Q,GREEN,Cocks Standard,0,0
420733,123-Q,IVORY,Cocks Standard,124.33,76.33
420734,123-Q,M GREEN,Cocks Standard,0,0
420735,123-Q,PINK,Cocks Standard,0,0
420736,123-Q,WHITE,Cocks Standard,319,0
420737,123-QAB,,Cocks Standard,55,138
420738,123-QB,,Cocks Standard,44,41
420739,123-QG,27,Cocks Premium,77,0
420740,123-QP,,Cocks Premium,77,0
420741,123-QR,376,Cocks Premium,935.67,597.67
420742,123-QW,,Cocks Premium,33,0
420743,123-R,BURGUNDY,Cocks Standard,0,0
420744,123-R,GREEN,Cocks Standard,0,0
420745,123-R,IVORY,Cocks Standard,11,0
420746,123-R,M GREEN,Cocks Standard,0,0
420747,123-R,PINK,Cocks Standard,0,0
420748,123-R,WHITE,Cocks Standard,11,0
420749,123-RG,17,Cocks Premium,22,0
420750,123-RP,,Cocks Premium,0,0
420751,123-RR,,Cocks Premium,22,50
420752,123-RW,,Cocks Premium,0,0
420753,123-S,IVORY,Cocks Standard,216,220
420754,123-S,WHITE,Cocks Standard,216,80
420755,123-U,BURGUNDY,Cocks Standard,0,0
420756,123-U,GREEN,Cocks Standard,0,0
420757,123-U,IVORY,Cocks Standard,0,0
420758,123-U,M GREEN,Cocks Standard,0,0
420759,123-U,PINK,Cocks Standard,0,0
420760,123-U,WHITE,Cocks Standard,132,223
420761,123-UG,,Cocks Premium,44,0
420762,123-UP,,Cocks Premium,11,0
420763,123-UR,88,Cocks Premium,187,76
420764,123-UW,,Cocks Premium,0,0
420765,123-WS,IVORY,Cocks Standard,648,352
