item_code,category,colour,segment
124-E,Cocks Standard,BURGUNDY,PTMT
124-E,Cocks Standard,GREEN,PTMT
124-E,Cocks Standard,IVORY,PTMT
124-E,Cocks Standard,M GREEN,PTMT
124-E,Cocks Standard,PINK,PTMT
124-E,Cocks Standard,WHITE,PTMT
124-EB,Cocks Standard,IVORY,PTMT
124-EB,Cocks Standard,WHITE,PTMT
124-EF,Cocks Standard,BURGUNDY,PTMT
124-EF,Cocks Standard,GREEN,PTMT
124-EF,Cocks Standard,IVORY,PTMT
124-EF,Cocks Standard,M GREEN,PTMT
124-EF,Cocks Standard,PINK,PTMT
124-EF,Cocks Standard,WHITE,PTMT
124-F,Cocks Standard,BURGUNDY,PTMT
124-F,Cocks Standard,GREEN,PTMT
124-F,Cocks Standard,IVORY,PTMT
124-F,Cocks Standard,M GREEN,PTMT
124-F,Cocks Standard,PINK,PTMT
124-F,Cocks Standard,WHITE,PTMT
124-FH,Cocks Premium,IVORY,PTMT
124-FH,Cocks Standard,IVORY,PTMT
124-FH,Cocks Standard,WHITE,PTMT
124-FHG,Cocks Premium,,PTMT
124-FHP,Cocks Premium,,PTMT
124-FHR,Cocks Premium,,PTMT
124-FHW,Cocks Premium,,PTMT
124-FP,Cocks Standard,BURGUNDY,PTMT
124-FP,Cocks Standard,GREEN,PTMT
124-FP,Cocks Standard,IVORY,PTMT
124-FP,Cocks Standard,M GREEN,PTMT
124-FP,Cocks Standard,PINK,PTMT
124-FP,Cocks Standard,WHITE,PTMT
124-H,Cocks Standard,BURGUNDY,PTMT
124-H,Cocks Standard,GREEN,PTMT
124-H,Cocks Standard,IVORY,PTMT
124-H,Cocks Standard,M GREEN,PTMT
124-H,Cocks Standard,PINK,PTMT
124-H,Cocks Standard,WHITE,PTMT
124-HG,Cocks Premium,,PTMT
124-HP,Cocks Premium,,PTMT
124-HR,Cocks Premium,,PTMT
124-HW,Cocks Premium,,PTMT
124-I,Cocks Standard,IVORY,PTMT
124-I,Cocks Standard,WHITE,PTMT
124-IG,Cocks Premium,,PTMT
124-IP,Cocks Premium,,PTMT
124-IR,Cocks Premium,,PTMT
124-IW,Cocks Premium,,PTMT
124-K,Cocks Standard,WHITE,PTMT
124-KF,Cocks Standard,WHITE,PTMT
124-L,Cocks Standard,WHITE,PTMT
124-LG,Cocks Premium,,PTMT
124-LP,Cocks Premium,,PTMT
124-LR,Cocks Premium,,PTMT
124-LS,Cocks Standard,WHITE,PTMT
124-LSB,Cocks Standard,BLUE,PTMT
124-LSF,Cocks Standard,WHITE,PTMT
124-LSFB,Cocks Standard,BLUE,PTMT
124-LW,Cocks Premium,,PTMT
124-N,Cocks Standard,IVORY,PTMT
124-N,Cocks Standard,WHITE,PTMT
124-NB,Cocks Premium,,PTMT
124-NG,Cocks Premium,,PTMT
124-NP,Cocks Premium,,PTMT
124-NR,Cocks Premium,,PTMT
124-NW,Cocks Premium,,PTMT
124-O,Cocks Standard,BURGUNDY,PTMT
124-O,Cocks Standard,GREEN,PTMT
124-O,Cocks Standard,IVORY,PTMT
124-O,Cocks Standard,M GREEN,PTMT
124-O,Cocks Standard,PINK,PTMT
124-O,Cocks Standard,WHITE,PTMT
124-P,Cocks Standard,BURGUNDY,PTMT
124-P,Cocks Standard,GREEN,PTMT
124-P,Cocks Standard,IVORY,PTMT
124-P,Cocks Standard,M GREEN,PTMT
124-P,Cocks Standard,PINK,PTMT
124-P,Cocks Standard,WHITE,PTMT
124-R,Cocks Standard,BURGUNDY,PTMT
124-R,Cocks Standard,GREEN,PTMT
124-R,Cocks Standard,IVORY,PTMT
124-R,Cocks Standard,M GREEN,PTMT
124-R,Cocks Standard,PINK,PTMT
124-R,Cocks Standard,WHITE,PTMT
124-RG,Cocks Premium,,PTMT
124-RP,Cocks Premium,,PTMT
124-RR,Cocks Premium,,PTMT
124-RW,Cocks Premium,,PTMT
124-S,Cocks Standard,BURGUNDY,PTMT
124-S,Cocks Standard,GREEN,PTMT
124-S,Cocks Standard,IVORY,PTMT
124-S,Cocks Standard,M GREEN,PTMT
124-S,Cocks Standard,PINK,PTMT
124-S,Cocks Standard,WHITE,PTMT
124-SG,Cocks Premium,,PTMT
124-SP,Cocks Premium,,PTMT
124-SR,Cocks Premium,,PTMT
124-SW,Cocks Premium,,PTMT
124-U,Cocks Standard,BURGUNDY,PTMT
124-U,Cocks Standard,GREEN,PTMT
124-U,Cocks Standard,IVORY,PTMT
124-U,Cocks Standard,M GREEN,PTMT
124-U,Cocks Standard,PINK,PTMT
124-U,Cocks Standard,WHITE,PTMT
124-UG,Cocks Premium,,PTMT
124-UP,Cocks Premium,,PTMT
124-UR,Cocks Premium,32,PTMT
124-UW,Cocks Premium,,PTMT
124-V,Cocks Standard,BURGUNDY,PTMT
124-V,Cocks Standard,GREEN,PTMT
124-V,Cocks Standard,IVORY,PTMT
124-V,Cocks Standard,M GREEN,PTMT
124-V,Cocks Standard,PINK,PTMT
