id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
419289,123-NNG,,54.33,0,0,0
419290,123-NNP,,54,13,0,0
419291,123-NNR,,144,1106,0,0
419292,123-NNW,,54,26,0,0
419293,123-O,BURGUNDY,0,0,0,0
419294,123-O,GREEN,0,0,0,0
419295,123-O,IVORY,20,4324,0,0
419296,123-O,M GREEN,0,0,0,0
419297,123-O,PINK,0,0,0,0
419298,123-O,WHITE,973.67,305,0,0
419299,123-ON,BURGUNDY,0,0,0,0
419300,123-ON,GREEN,0,0,0,0
419301,123-ON,IVORY,0,0,0,0
419302,123-ON,M GREEN,0,0,0,0
419303,123-ON,PINK,0,0,0,0
419304,123-ON,WHITE,20,62,0,0
419305,123-P,BURGUNDY,0,0,0,0
419306,123-P,GREEN,0,0,0,0
419307,123-P,IVORY,30.67,7,0,0
419308,123-P,M GREEN,0,0,0,0
419309,123-P,PINK,0,0,0,0
419310,123-P,WHITE,106,0,0,176
419311,123-PN,BURGUNDY,0,0,0,0
419312,123-PN,GREEN,0,0,0,0
419313,123-PN,IVORY,0,0,0,0
419314,123-PN,M GREEN,0,0,0,0
419315,123-PN,PINK,0,0,0,0
419316,123-PN,WHITE,0,8,0,0
419317,123-Q,BURGUNDY,0,0,0,0
419318,123-Q,GREEN,0,0,0,0
419319,123-Q,IVORY,124.33,180,132,0
419320,123-Q,M GREEN,0,0,0,0
419321,123-Q,PINK,0,0,0,0
419322,123-Q,WHITE,319,915,0,0
419323,123-QAB,,55,0,0,83
419324,123-QB,,44,3,0,0
419325,123-QG,27,77,155,0,0
419326,123-QP,,77,331,0,0
419327,123-QR,376,935.67,338,0,0
419328,123-QW,,33,471,0,0
419329,123-R,BURGUNDY,0,0,0,0
419330,123-R,GREEN,0,0,0,0
419331,123-R,IVORY,11,67,0,0
419332,123-R,M GREEN,0,0,0,0
419333,123-R,PINK,0,0,0,0
419334,123-R,WHITE,11,22,0,0
419335,123-RG,17,22,70,0,0
419336,123-RP,,0,31,0,0
419337,123-RR,,22,0,0,28
419338,123-RW,,0,22,0,0
419339,123-S,IVORY,216,0,0,4
419340,123-S,WHITE,216,136,0,0
419341,123-U,BURGUNDY,0,0,0,0
419342,123-U,GREEN,0,0,0,0
419343,123-U,IVORY,0,4,0,0
419344,123-U,M GREEN,0,0,0,0
419345,123-U,PINK,0,0,0,0
419346,123-U,WHITE,132,0,0,91
419347,123-UG,,44,189,0,0
419348,123-UP,,11,293,0,0
419349,123-UR,88,187,111,0,0
419350,123-UW,,0,105,0,0
419351,123-WS,IVORY,648,296,0,0
419352,123-WS,WHITE,1224,936,0,0
419353,1231,BURGUNDY,0,0,0,0
419354,1231,GREEN,0,0,0,0
419355,1231,IVORY,0,99,0,0
419356,1231,M GREEN,0,0,0,0
419357,1231,PINK,0,0,0,0
419358,1231,WHITE,140,300,0,0
419359,1231-F,BURGUNDY,0,0,0,0
419360,1231-F,GREEN,0,0,0,0
419361,1231-F,IVORY,0,403,0,0
419362,1231-F,M GREEN,0,0,0,0
419363,1231-F,PINK,0,0,0,0
419364,1231-F,WHITE,15.33,121,0,0
419365,1231-N,BURGUNDY,0,0,0,0
419366,1231-N,GREEN,0,0,0,0
419367,1231-N,IVORY,0,0,0,0
419368,1231-N,M GREEN,0,0,0,0
419369,1231-N,PINK,0,0,0,0
419370,1231-N,WHITE,0,50,0,0
419371,1231F,,0,0,0,0
419372,124,BLUE,0,154,0,0
419373,124,BURGUNDY,0,0,0,0
419374,124,GREEN,0,0,0,0
419375,124,IVORY,4960,7293,0,0
419376,124,M GREEN,0,0,0,0
419377,124,PINK,0,390,0,0
419378,124,WHITE,9815.33,5833,0,0
419379,124-4E,,0,0,0,0
419380,124-4U,,0,0,0,0
419381,124-A,IVORY,0,86,0,0
419382,124-A,WHITE,0,189,0,0
419383,124-AB,BLACK,0,184,0,0
419384,124-ABF,BLACK,0,147,0,0
419385,124-AF,IVORY,0,270,0,0
419386,124-AF,WHITE,0,46,0,0
419387,124-AP,IVORY,184,116,0,0
419388,124-AP,WHITE,0,61,0,0
419389,124-AS,IVORY,72,23,0,0
419390,124-AS,WHITE,87.33,337,0,0
419391,124-B,BURGUNDY,0,0,0,0
419392,124-B,GREEN,0,0,0,0
419393,124-B,IVORY,144,26,0,0
419394,124-B,M GREEN,0,0,0,0
419395,124-B,PINK,0,0,0,0
419396,124-B,WHITE,162,96,0,0
419397,124-BF,IVORY,18,1,46,0
419398,124-BF,WHITE,33.33,48,0,0
419399,124-C,BURGUNDY,0,0,0,0
419400,124-C,GREEN,0,0,0,0
419401,124-C,IVORY,0,171,0,0
419402,124-C,M GREEN,0,0,0,0
419403,124-C,PINK,0,0,0,0
419404,124-C,WHITE,2187.67,1270,0,0
419405,124-CF,WHITE,444.67,248,0,0
419406,124-D,IVORY,0,8,0,0
419407,124-D,WHITE,139.33,24,33,0
419408,124-DB,BLACK,209,0,0,157
419409,124-DG,GOLD,0,5,0,0
419410,124-DP,,22,26,0,0
419411,124-DR,R BLUE,33,202,33,0
419412,124-DW,WINE,0,36,66,0
419413,124-E,BURGUNDY,0,0,0,0
419414,124-E,GREEN,0,0,0,0
419415,124-E,IVORY,0,212,0,0
419416,124-E,M GREEN,0,0,0,0
419417,124-E,PINK,0,0,0,0
419418,124-E,WHITE,288,542,0,0
419419,124-EB,IVORY,54,99,0,0
419420,124-EB,WHITE,234,0,0,393
419421,124-EF,BURGUNDY,0,0,0,0
419422,124-EF,GREEN,0,0,0,0
419423,124-EF,IVORY,0,320,0,0
419424,124-EF,M GREEN,0,0,0,0
419425,124-EF,PINK,0,0,0,0
419426,124-EF,WHITE,0,170,0,0
419427,124-F,BURGUNDY,0,0,0,0
419428,124-F,GREEN,0,0,0,0
419429,124-F,IVORY,276,477,0,0
419430,124-F,M GREEN,0,0,0,0
419431,124-F,PINK,15.33,173,0,0
419432,124-F,WHITE,832,0,0,47
419433,124-FH,IVORY,0,334,0,0
419434,124-FH,IVORY,0,334,0,0
419435,124-FH,WHITE,322,407,0,0
419436,124-FHG,,0,14,0,0
419437,124-FHP,,0,105,0,0
419438,124-FHR,,0,38,0,0
419439,124-FHW,,3.33,83,0,0
419440,124-FP,BURGUNDY,0,0,0,0
419441,124-FP,GREEN,0,0,0,0
419442,124-FP,IVORY,0,10,0,0
419443,124-FP,M GREEN,0,0,0,0
419444,124-FP,PINK,0,0,0,0
419445,124-FP,WHITE,1.33,52,0,0
419446,124-H,BURGUNDY,0,0,0,0
419447,124-H,GREEN,0,0,0,0
419448,124-H,IVORY,306.67,775,0,0
419449,124-H,M GREEN,0,0,0,0
419450,124-H,PINK,0,0,0,0
419451,124-H,WHITE,1905.67,6114,0,0
419452,124-HG,,15.33,117,0,0
419453,124-HP,,0,109,0,0
419454,124-HR,,82,13,0,0
419455,124-HW,,30.67,155,0,0
419456,124-I,IVORY,0,0,0,0
419457,124-I,WHITE,0,99,0,0
419458,124-IG,,0,0,0,0
419459,124-IP,,0,0,0,0
419460,124-IR,,0,0,0,0
419461,124-IW,,0,0,0,0
419462,124-K,WHITE,950.67,381,0,1253
419463,124-KF,WHITE,0,102,0,0
419464,124-L,WHITE,0,22,0,0
419465,124-LG,,0,0,0,0
419466,124-LP,,0,0,0,0
419467,124-LR,,0,6,0,0
419468,124-LS,WHITE,61.33,73,0,0
419469,124-LSB,BLUE,0,0,0,120
419470,124-LSF,WHITE,0,0,0,0
419471,124-LSFB,BLUE,7.67,18,0,0
419472,124-LW,,0,0,0,0
419473,124-N,IVORY,0,198,0,0
419474,124-N,WHITE,66,55,0,0
419475,124-NB,,121,0,0,97
419476,124-NG,,44.33,125,0,0
