item_code,colour,category,issued_demand
515,IVORY,Cistern & Seat Cover,0
515,PINK,Cistern & Seat Cover,0
515,WHITE,Cistern & Seat Cover,0
516,BLUE,Cistern & Seat Cover,0
516,BURGUNDAY,Cistern & Seat Cover,0
516,GREEN,Cistern & Seat Cover,0
516,IVORY,Cistern & Seat Cover,0
516,PINK,Cistern & Seat Cover,0
516,WHITE,Cistern & Seat Cover,405.67
516-S,WHITE,Cistern & Seat Cover,0
517,BLUE,Cistern & Seat Cover,0
517,BURGUNDAY,Cistern & Seat Cover,0
517,GREEN,Cistern & Seat Cover,4
517,IVORY,Cistern & Seat Cover,0
517,PINK,Cistern & Seat Cover,0
517,WHITE,Cistern & Seat Cover,149
518,IVORY,Cistern & Seat Cover,0
518,WHITE,Cistern & Seat Cover,206.33
701,BLUE,Cistern & Seat Cover,120.67
701,BURGUNDAY,Cistern & Seat Cover,0
701,GREEN,Cistern & Seat Cover,0
701,IVORY,Cistern & Seat Cover,6.67
701,PINK,Cistern & Seat Cover,693.33
701,WHITE,Cistern & Seat Cover,21428.33
701-N,BLUE,Cistern & Seat Cover,0
701-N,BURGUNDAY,Cistern & Seat Cover,0
701-N,GREEN,Cistern & Seat Cover,0
701-N,IVORY,Cistern & Seat Cover,0
701-N,PINK,Cistern & Seat Cover,0
701-N,WHITE,Cistern & Seat Cover,82.67
702,BLUE,Cistern & Seat Cover,0
702,BURGUNDAY,Cistern & Seat Cover,0
702,GREEN,Cistern & Seat Cover,0
702,IVORY,Cistern & Seat Cover,0
702,PINK,Cistern & Seat Cover,0
702,WHITE,Cistern & Seat Cover,0
703,BLUE,Cistern & Seat Cover,0
703,BURGUNDAY,Cistern & Seat Cover,0
703,GREEN,Cistern & Seat Cover,0
703,IVORY,Cistern & Seat Cover,0
703,PINK,Cistern & Seat Cover,0
703,WHITE,Cistern & Seat Cover,0
704,BLUE,Cistern & Seat Cover,0
704,BURGUNDAY,Cistern & Seat Cover,0
704,GREEN,Cistern & Seat Cover,0
704,IVORY,Cistern & Seat Cover,33.33
704,PINK,Cistern & Seat Cover,0
704,WHITE,Cistern & Seat Cover,5272
705,BLUE,Cistern & Seat Cover,0
705,BURGUNDAY,Cistern & Seat Cover,0
705,GREEN,Cistern & Seat Cover,0
705,IVORY,Cistern & Seat Cover,10
705,PINK,Cistern & Seat Cover,0
705,WHITE,Cistern & Seat Cover,487.67
706,BLUE,Cistern & Seat Cover,0
706,BURGUNDAY,Cistern & Seat Cover,0
706,GREEN,Cistern & Seat Cover,0
706,IVORY,Cistern & Seat Cover,0
706,PINK,Cistern & Seat Cover,0
706,WHITE,Cistern & Seat Cover,0
708,BLUE,Cistern & Seat Cover,0
708,BURGUNDAY,Cistern & Seat Cover,0
708,GREEN,Cistern & Seat Cover,0
708,IVORY,Cistern & Seat Cover,0
708,PINK,Cistern & Seat Cover,0
708,WHITE,Cistern & Seat Cover,0
721,IVORY,Cistern & Seat Cover,0
721,WHITE,Cistern & Seat Cover,327.33
722,BLUE,Cistern & Seat Cover,0
722,BURGUNDAY,Cistern & Seat Cover,0
722,GREEN,Cistern & Seat Cover,0
722,IVORY,Cistern & Seat Cover,0
722,PINK,Cistern & Seat Cover,0
722,WHITE,Cistern & Seat Cover,0
723,BLUE,Cistern & Seat Cover,0
723,BURGUNDAY,Cistern & Seat Cover,0
723,GREEN,Cistern & Seat Cover,0
723,IVORY,Cistern & Seat Cover,0
723,PINK,Cistern & Seat Cover,0
723,WHITE,Cistern & Seat Cover,0
724,BLUE,Cistern & Seat Cover,0
724,BURGUNDAY,Cistern & Seat Cover,0
724,GREEN,Cistern & Seat Cover,0
724,IVORY,Cistern & Seat Cover,0
724,PINK,Cistern & Seat Cover,0
724,WHITE,Cistern & Seat Cover,0
725,BLUE,Cistern & Seat Cover,0
725,BURGUNDAY,Cistern & Seat Cover,0
725,GREEN,Cistern & Seat Cover,0
