"itemCode","colour","category","material","unfeasiblePieces","dummyPieces","orderPieces","bufferPieces","route","bomSourceStatus","currentSourceWeightKg","currentSourceRawRows","julySnapshot","augustSnapshot"
"PP403","","Unclassified","Unclassified","285","0","285","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP243","","Unclassified","Unclassified","270","0","270","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP253","","Unclassified","Unclassified","270","0","270","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP33","","Unclassified","Unclassified","270","0","270","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"AS-348","","Unclassified","Unclassified","256","256","0","0","no route in active local pool","positive source weight","0.397","2","missing/zero frozen weight","not in snapshot"
"PW79","","SWR Pipe","SWR","250.09","68","0","182.09","route present","positive source weight","1.44","3","missing/zero frozen weight","missing/zero frozen weight"
"PG65","","Unclassified","Unclassified","250","0","250","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PW13","","SWR Pipe","SWR","247.77","160","0","87.77","route present","positive source weight","7.5","3","missing/zero frozen weight","missing/zero frozen weight"
"PW77","","SWR Pipe","SWR","239.4","0","0","239.4","route present","positive source weight","0.96","3","missing/zero frozen weight","missing/zero frozen weight"
"PG45","","Unclassified","Unclassified","225","0","225","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-767","","AGRI Fitting","AGRI","223.14","0","0","223.14","route present","positive source weight","0.241","3","missing/zero frozen weight","missing/zero frozen weight"
"PG24","","Unclassified","Unclassified","200","0","200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG243","","Unclassified","Unclassified","200","0","200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG253","","Unclassified","Unclassified","200","0","200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG33","","Unclassified","Unclassified","200","0","200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG943","","Unclassified","Unclassified","200","0","200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG954","","Unclassified","Unclassified","200","0","200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PW19","","SWR Pipe","SWR","191.37","25","0","166.37","route present","positive source weight","2.28","3","missing/zero frozen weight","missing/zero frozen weight"
"A-721","","Unclassified","Unclassified","190","190","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"PW20","","SWR Pipe","SWR","187.77","100","0","87.77","route present","positive source weight","1.607","2","missing/zero frozen weight","missing/zero frozen weight"
"CH80F","","CPVC Fitting","CPVC","184.28","64","0","120.28","route present","positive source weight","0.0689","3","missing/zero frozen weight","missing/zero frozen weight"
"PP34","","Unclassified","Unclassified","180","0","180","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-770","","AGRI Fitting","AGRI","169.83","6","0","163.83","route present","positive source weight","0.625","3","missing/zero frozen weight","missing/zero frozen weight"
"CH82F","","Unclassified","Unclassified","160","160","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"PW73","","SWR Pipe","SWR","155.5","90","0","65.5","route present","positive source weight","4.7","3","not in snapshot","missing/zero frozen weight"
"PG34","","Unclassified","Unclassified","150","0","150","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG513","","Unclassified","Unclassified","150","0","150","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP25","","Unclassified","Unclassified","150","0","150","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP35","","Unclassified","Unclassified","150","0","150","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"RL03","","SWR Fitting","SWR","138.71","0","0","138.71","route present","absent from current source","","0","not in snapshot","missing/zero frozen weight"
"CM26","","CPVC Fitting","CPVC","125","32","0","93","route present","positive source weight","0.0516","3","missing/zero frozen weight","missing/zero frozen weight"
"PW62","","SWR Pipe","SWR","115.85","70","0","45.85","route present","positive source weight","7.6","3","not in snapshot","missing/zero frozen weight"
"PW80","","SWR Pipe","SWR","115.5","50","0","65.5","route present","positive source weight","0.94","2","missing/zero frozen weight","missing/zero frozen weight"
"PG25","","Unclassified","Unclassified","100","0","100","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG35","","Unclassified","Unclassified","100","0","100","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-271","","AGRI Fitting","AGRI","78.77","14","0","64.77","route present","positive source weight","0.5435","3","missing/zero frozen weight","missing/zero frozen weight"
"CH24","","CPVC Fitting","CPVC","74.8","50","0","24.8","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"CH80QS","","CPVC Fitting","CPVC","73.68","34","0","39.68","route present","positive source weight","0.0658","1","missing/zero frozen weight","missing/zero frozen weight"
"MHC-08","","Unclassified","Unclassified","73","43","30","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PW14","","SWR Pipe","SWR","72.27","50","0","22.27","route present","positive source weight","7.5","3","missing/zero frozen weight","missing/zero frozen weight"
"AS-428","","Unclassified","Unclassified","66","66","0","0","no route in active local pool","positive source weight","0.13","2","missing/zero frozen weight","not in snapshot"
"CM31","","CPVC Fitting","CPVC","65.08","0","0","65.08","route present","positive source weight","0.1455","3","missing/zero frozen weight","missing/zero frozen weight"
"PW63","","SWR Pipe","SWR","60.27","38","0","22.27","route present","positive source weight","15.1","3","missing/zero frozen weight","missing/zero frozen weight"
"AS-446","","Unclassified","Unclassified","60","60","0","0","no route in active local pool","positive source weight","0.1285","2","missing/zero frozen weight","not in snapshot"
"A-471","","AGRI Fitting","AGRI","59.09","0","0","59.09","route present","positive source weight","1.051","3","missing/zero frozen weight","missing/zero frozen weight"
"A-669","","AGRI Fitting","AGRI","56.13","32","0","24.13","route present","positive source weight","0.972","3","missing/zero frozen weight","missing/zero frozen weight"
"A-428","","Unclassified","Unclassified","51","51","0","0","no route in active local pool","positive source weight","0.13","2","missing/zero frozen weight","not in snapshot"
"S45","","Unclassified","Unclassified","48","48","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"CH22","","CPVC Fitting","CPVC","45.88","0","0","45.88","route present","present but zero/blank source weight","","2","missing/zero frozen weight","missing/zero frozen weight"
"CH78QS","","CPVC Fitting","CPVC","45.72","0","0","45.72","route present","positive source weight","0.0658","1","missing/zero frozen weight","missing/zero frozen weight"
"PP413","","Unclassified","Unclassified","41","0","41","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"CH72QS","","CPVC Fitting","CPVC","39.68","0","0","39.68","route present","positive source weight","0.0658","1","missing/zero frozen weight","missing/zero frozen weight"
"A-703","","Unclassified","Unclassified","38","38","0","0","no route in active local pool","positive source weight","0.074","2","missing/zero frozen weight","not in snapshot"
"CH82","","Unclassified","Unclassified","32","32","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"UH86F","","Unclassified","Unclassified","32","0","32","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-672","","AGRI Fitting","AGRI","30.74","0","0","30.74","route present","positive source weight","0.0014","3","missing/zero frozen weight","missing/zero frozen weight"
"5143","","SWR Fitting","SWR","30.01","20","0","10.01","route present","present but zero/blank source weight","","3","missing/zero frozen weight","missing/zero frozen weight"
"PW93","","SWR Pipe","SWR","27.9","0","0","27.9","route present","positive source weight","5.1","3","missing/zero frozen weight","missing/zero frozen weight"
"WCT-3LL-10","","Unclassified","Unclassified","25","25","0","0","no route in active local pool","positive source weight","21","2","not in snapshot","not in snapshot"
"PW97","","SWR Pipe","SWR","23.17","14","0","9.17","route present","positive source weight","1.04","3","missing/zero frozen weight","missing/zero frozen weight"
"CH84","","Unclassified","Unclassified","23","23","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
