"item code","item name","category","material","pieces unfeasible","DUMMY","ORDERS","BUFFER","has machine route"
"WT-ISI-05","Water Tank 2 layer ISI  500 Ltr.","Unclassified","Unclassified","23","23","0","0","no"
"PW31","","SWR Pipe","SWR","22.27","0","0","22.27","yes"
"A-413","32 MM ELBOW 10 KG/CM2","Unclassified","Unclassified","21","21","0","0","no"
"U125","","UPVC Fitting","UPVC","20.91","0","0","20.91","yes"
"PW74","","SWR Pipe","SWR","20.27","0","0","20.27","yes"
"4507","63 MM BACK FLOW VALVE","Unclassified","Unclassified","20","20","0","0","no"
"4763","110X63 MMNAHANI TRAP WITH JALI","Unclassified","Unclassified","19","19","0","0","no"
"U24T","","UPVC Fitting","UPVC","11.07","0","0","11.07","yes"
"RL04","","SWR Fitting","SWR","10.01","0","0","10.01","yes"
"AS-248","90MM COUPLER4 KG/CM2","Unclassified","Unclassified","10","10","0","0","no"
"WCT-3LL-07","WATER COOL TANK 3 LAYER LIGHT 750 LTR.","Unclassified","Unclassified","9","9","0","0","no"
"C887","","CPVC Fitting","CPVC","8.8","0","0","8.8","yes"
"WT-4LL-07","Water Tank 4 layer Light 750 Ltr.","Unclassified","Unclassified","5","5","0","0","no"
"WCT-3LL-07 G","WATER COOL TANK 3 LAYER LIGHT 750 LTR.","Unclassified","Unclassified","4","4","0","0","no"
"A-671","","AGRI Fitting","AGRI","3.94","0","0","3.94","yes"
"CH23","","CPVC Fitting","CPVC","3.72","0","0","3.72","yes"
"CH25","","CPVC Fitting","CPVC","3.72","0","0","3.72","yes"
"CH26","","CPVC Fitting","CPVC","2.48","0","0","2.48","yes"
"PW33","","SWR Pipe","SWR","1.31","0","0","1.31","yes"
"WT-3LL-20","Water Tank 3 layer Light 2000 Ltr.","Unclassified","Unclassified","1","1","0","0","no"
