id,run_id,cat_no,colour,qty
768,7,1831,IVORY,0
769,7,127-Q,IVORY,0
770,7,133-Q,IVORY,0
771,7,133-QB,BLACK,0
772,7,134-QB,BLACK,0
773,7,135-QB,BLACK,0
774,7,1375-QB,BLACK,0
775,7,145-QB,BLACK,0
776,7,131-DP,PEACH,10
777,7,145-I,WHITE,23
778,7,129,WHITE,0
779,7,130,WHITE,0
780,7,131,WHITE,0
781,7,132,WHITE,0
782,7,144,WHITE,0
783,7,145,WHITE,0
784,7,147,WHITE,0
785,7,127,WHITE,0
786,7,124,WHITE,0
787,7,123,WHITE,0
788,7,149-N,WHITE,0
789,7,147-SQ,WHITE,0
790,7,133-NEW,WHITE,0
791,7,132-T,WHITE,0
792,7,131-N,WHITE,0
793,7,1375-S,WHITE,0
794,7,122-I,WHITE,0
795,7,123-N,WHITE,0
796,7,130-I,WHITE,0
797,7,132-I,WHITE,0
798,7,133-I,WHITE,0
799,7,144-I,WHITE,0
800,7,150-I,WHITE,0
801,7,134,WHITE,0
802,7,135,WHITE,0
803,7,123-I,WHITE,0
804,7,667,WHITE,36
805,7,120-WS,WHITE,0
806,7,PTA-14,WHITE,0
807,7,PTA-52,WHITE,0
808,7,PTA-63,WHITE,0
809,7,PTA-69,WHITE,0
810,7,PTA-70,WHITE,0
811,7,PTA-71,WHITE,0
812,7,PTA-78,WHITE,0
813,7,3451,WHITE,0
814,7,3727,WHITE,0
815,7,PTA-3,WHITE,0
816,7,663,WHITE,0
817,7,665,WHITE,0
818,7,506,WHITE,50
819,7,CWP-01,WHITE,0
820,7,321,WHITE,0
821,7,325,WHITE,0
822,7,326,WHITE,0
823,7,513,PINK,0
824,7,513,BLUE,0
825,7,517,GREEN,0
826,7,701,BLUE,0
827,7,701,PINK,0
828,7,130,WHITE,0
829,7,142,WHITE,0
830,7,145,WHITE,0
831,7,147,WHITE,0
832,7,181-C,WHITE,0
833,7,1813-C,WHITE,0
834,7,144,WHITE,0
835,7,183,WHITE,0
836,7,107,WHITE,0
837,7,187-R,R BLUE,0
838,7,149-N,WHITE,0
839,7,LF-153,,0
840,7,LF-154,,0
841,7,151,GOLD,0
842,7,121-HR,R BLUE,0
843,7,129-HR,R BLUE,0
844,7,144-HR,R BLUE,0
845,7,121-HW,WINE,0
846,7,144-HW,WINE,0
847,7,144-QR,R BLUE,0
848,7,147-QR,R BLUE,0
849,7,1375-S,WHITE,0
850,7,123-QR,R BLUE,0
851,7,129-QR,R BLUE,0
852,7,130-QR,R BLUE,0
853,7,132-QR,R BLUE,0
854,7,187-W,WINE,0
855,7,1375-A,WHITE,24
856,7,121-A,WHITE,0
857,7,144-A,WHITE,0
858,7,1813-B,WHITE,0
859,7,121-SR,R BLUE,0
860,7,124,WHITE,0
861,7,1817-C,WHITE,0
862,7,188,WHITE,0
863,7,151,GOLD,0
864,7,152,GOLD,0
865,7,153,GOLD,0
866,7,145-V,IVORY,30
867,7,124-F,IVORY,0
868,7,129,IVORY,0
869,7,1813-C,IVORY,0
870,7,200,IVORY,0
871,7,132-T,IVORY,0
