id,month,as_of_at,status,factors_json,note,created_at,segment,effective_from,weekly_release_version
445,2026-07,2026-08-21T17:14:37.842Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-21T17:14:37.842Z,PTMT,2026-07-01,1
446,2026-07,2026-08-21T17:19:08.643Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-21T17:19:08.643Z,PTMT,2026-07-01,1
447,2026-07,2026-08-21T17:25:40.416Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-21T17:25:40.416Z,PTMT,2026-07-01,1
639,2026-07,2026-08-24T13:15:30.624Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T13:15:30.624Z,PTMT,2026-07-01,1
592,2026-07,2026-08-24T12:26:37.703Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T12:26:37.703Z,PTMT,2026-07-01,1
593,2026-07,2026-08-24T12:26:46.958Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T12:26:46.958Z,PTMT,2026-07-01,1
719,2026-07,2026-08-25T05:12:33.608Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T05:12:33.608Z,PTMT,2026-07-01,1
720,2026-07,2026-08-25T05:13:20.303Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T05:13:20.303Z,PTMT,2026-07-01,1
615,2026-07,2026-08-24T12:40:25.414Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T12:40:25.414Z,PTMT,2026-07-01,1
623,2026-07,2026-08-24T13:02:04.201Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T13:02:04.201Z,PTMT,2026-07-01,1
