id,category,item_code,colour,segment
373,Cocks Standard,124-I,WHITE,PTMT
374,Cocks Standard,124-K,WHITE,PTMT
375,Cocks Standard,124-KF,WHITE,PTMT
376,Cocks Standard,124-L,WHITE,PTMT
377,Cocks Standard,124-LS,WHITE,PTMT
378,Cocks Standard,124-LSB,BLUE,PTMT
379,Cocks Standard,124-LSF,WHITE,PTMT
380,Cocks Standard,124-LSFB,BLUE,PTMT
381,Cocks Standard,124-N,IVORY,PTMT
382,Cocks Standard,124-N,WHITE,PTMT
383,Cocks Standard,124-O,BURGUNDY,PTMT
384,Cocks Standard,124-O,GREEN,PTMT
385,Cocks Standard,124-O,IVORY,PTMT
386,Cocks Standard,124-O,M GREEN,PTMT
387,Cocks Standard,124-O,PINK,PTMT
388,Cocks Standard,124-O,WHITE,PTMT
389,Cocks Standard,124-P,BURGUNDY,PTMT
390,Cocks Standard,124-P,GREEN,PTMT
391,Cocks Standard,124-P,IVORY,PTMT
392,Cocks Standard,124-P,M GREEN,PTMT
393,Cocks Standard,124-P,PINK,PTMT
394,Cocks Standard,124-P,WHITE,PTMT
395,Cocks Standard,124-R,BURGUNDY,PTMT
396,Cocks Standard,124-R,GREEN,PTMT
397,Cocks Standard,124-R,IVORY,PTMT
398,Cocks Standard,124-R,M GREEN,PTMT
399,Cocks Standard,124-R,PINK,PTMT
400,Cocks Standard,124-R,WHITE,PTMT
401,Cocks Standard,124-S,BURGUNDY,PTMT
402,Cocks Standard,124-S,GREEN,PTMT
403,Cocks Standard,124-S,IVORY,PTMT
404,Cocks Standard,124-S,M GREEN,PTMT
405,Cocks Standard,124-S,PINK,PTMT
406,Cocks Standard,124-S,WHITE,PTMT
407,Cocks Standard,124-U,BURGUNDY,PTMT
408,Cocks Standard,124-U,GREEN,PTMT
409,Cocks Standard,124-U,IVORY,PTMT
410,Cocks Standard,124-U,M GREEN,PTMT
411,Cocks Standard,124-U,PINK,PTMT
412,Cocks Standard,124-U,WHITE,PTMT
413,Cocks Standard,124-V,BURGUNDY,PTMT
414,Cocks Standard,124-V,GREEN,PTMT
415,Cocks Standard,124-V,IVORY,PTMT
416,Cocks Standard,124-V,M GREEN,PTMT
417,Cocks Standard,124-V,PINK,PTMT
418,Cocks Standard,124-V,WHITE,PTMT
419,Cocks Standard,124-W,IVORY,PTMT
420,Cocks Standard,124-W,WHITE,PTMT
421,Cocks Standard,124-WS,IVORY,PTMT
422,Cocks Standard,124-WS,WHITE,PTMT
423,Cocks Standard,124.0,BLUE,PTMT
424,Cocks Standard,124.0,BURGUNDY,PTMT
425,Cocks Standard,124.0,GREEN,PTMT
426,Cocks Standard,124.0,IVORY,PTMT
427,Cocks Standard,124.0,M GREEN,PTMT
428,Cocks Standard,124.0,PINK,PTMT
429,Cocks Standard,124.0,WHITE,PTMT
430,Cocks Standard,1241-F,BURGUNDY,PTMT
431,Cocks Standard,1241-F,GREEN,PTMT
432,Cocks Standard,1241-F,IVORY,PTMT
433,Cocks Standard,1241-F,M GREEN,PTMT
434,Cocks Standard,1241-F,PINK,PTMT
435,Cocks Standard,1241-F,WHITE,PTMT
436,Cocks Standard,1241.0,BURGUNDY,PTMT
